,stop_code,stop_name,stop_lat,stop_lon,geometry
813,103503,Old Vernon Rd at McKenzie Rd,49.91962,-119.36428,POINT (-119.36428 49.91962)
814,103478,Old Vernon Rd at Morrison Rd,49.91821,-119.37012,POINT (-119.37012 49.91821)
815,140176,Elliott Rd at Solar Rd,49.8312,-119.63098,POINT (-119.63098 49.8312)
816,140174,Elliott Rd at Springer Lane,49.83371,-119.63103,POINT (-119.63103 49.83371)
817,140172,Elliott Rd at Butt Rd,49.83711,-119.63103,POINT (-119.63103 49.83711)
818,140175,Elliott Rd at Nuefeld Cres,49.84168,-119.63387,POINT (-119.63387 49.84168)
819,140173,Elliott Rd at Reece Rd,49.8443,-119.63392,POINT (-119.63392 49.8443)
820,140196,Smith Creek Rd at Elliott Rd,49.84772,-119.63908,POINT (-119.63908 49.84772)
821,140197,Smith Creek Rd at Wild Horse Dr,49.85124,-119.64235,POINT (-119.64235 49.85124)
822,140167,Copper Ridge Dr at Smith Creek Rd,49.85379,-119.64351,POINT (-119.64351 49.85379)
823,140192,Whispering Hills Dr at Copper Ridge Dr,49.8531,-119.64055,POINT (-119.64055 49.8531)
824,140178,2600 Blk Wild Horse Dr,49.85309,-119.63649,POINT (-119.63649 49.85309)
825,140171,Wild Horse Dr at Bridlehill Dr,49.85374,-119.63274,POINT (-119.63274 49.85374)
826,140183,Ironridge Rd at Ironridge Crt,49.85452,-119.62768,POINT (-119.62768 49.85452)
827,140166,Asquith Rd at Saddleback Way,49.8512,-119.62468,POINT (-119.62468 49.8512)
828,140187,Shannon Lake Rd at Shannon Ridge Dr,49.85308,-119.61752,POINT (-119.61752 49.85308)
829,140189,Shannon Lake Rd at Alexandria Way,49.85531,-119.61792,POINT (-119.61792 49.85531)
830,140188,Shannon Lake Rd at Canyon Crest Dr,49.85823,-119.6168,POINT (-119.6168 49.85823)
831,140190,Shannon Lake Rd at Tallus Ridge Dr,49.86248,-119.61289,POINT (-119.61289 49.86248)
832,140184,Shannon Lake Rd at Golf Course Dr,49.86354,-119.6094,POINT (-119.6094 49.86354)
833,140185,Shannon Lake Rd at Shannon View Dr,49.86596,-119.6049,POINT (-119.6049 49.86596)
834,140186,Shannon Lake Rd at Shannon Lake Dr,49.86691,-119.59986,POINT (-119.59986 49.86691)
835,140169,Shannon Lake Rd at Crystal Dr,49.86732,-119.59091,POINT (-119.59091 49.86732)
836,140201,Bartley Rd at Shannon Lake Rd,49.86403,-119.58783,POINT (-119.58783 49.86403)
837,103262,Ross Rd at Brentwood Rd,49.86189,-119.57587,POINT (-119.57587 49.86189)
838,103258,Ross Rd at Western Rd,49.86368,-119.57583,POINT (-119.57583 49.86368)
839,103251,Ross Rd at Stevens Rd,49.86582,-119.57582,POINT (-119.57582 49.86582)
840,103230,1400 Blk Stevens Rd,49.86627,-119.57189,POINT (-119.57189 49.86627)
841,140069,Stevens Rd at Mcdougall Rd,49.86598,-119.5675,POINT (-119.5675 49.86598)
842,103173,Westlake Rd at Caledonia Way,49.87347,-119.56304,POINT (-119.56304 49.87347)
843,103178,Westlake Rd at Rosewood Dr,49.8777,-119.5663,POINT (-119.5663 49.8777)
844,103161,Westlake Rd at Starlight Cres,49.87915,-119.56426,POINT (-119.56426 49.87915)
845,140153,Westlake Rd at Peak Point Rd,49.88398,-119.56054,POINT (-119.56054 49.88398)
846,103115,Westlake Rd at Horizon Dr,49.88503,-119.55698,POINT (-119.55698 49.88503)
847,103110,Westlake Rd at Keloka Way,49.88711,-119.55568,POINT (-119.55568 49.88711)
848,103094,Parkinson Rd at Westlake Rd,49.89125,-119.55277,POINT (-119.55277 49.89125)
