,stop_code,stop_name,stop_lat,stop_lon,geometry
987,101083,Laval Ave at Larchwood Dr,48.47331,-123.32493,POINT (-123.32493 48.47331)
988,101085,Helmcken Rd at Knockan Dr,48.47262,-123.41848,POINT (-123.41848 48.47262)
989,101086,Quadra St at Beckwith Ave,48.48118,-123.37823,POINT (-123.37823 48.48118)
990,101087,Glanford Ave at Leaside Ave,48.48023,-123.39122,POINT (-123.39122 48.48023)
991,101088,Helmcken Rd at Knockan Dr,48.47208,-123.41897,POINT (-123.41897 48.47208)
992,101089,Quadra St at Beckwith Ave,48.48138,-123.37813,POINT (-123.37813 48.48138)
993,101090,Island Hwy at Jedburgh Rd,48.45777,-123.44363,POINT (-123.44363 48.45777)
994,101091,Island Hwy at Jedburgh Rd,48.45775,-123.44343,POINT (-123.44343 48.45775)
995,101092,Carey Rd at Oakridge Cres,48.47873,-123.39953,POINT (-123.39953 48.47873)
996,101093,Carey Rd at Oakridge Cres,48.4789,-123.39938,POINT (-123.39938 48.4789)
997,101094,Holland Ave at Helmcken Rd,48.47115,-123.42274,POINT (-123.42274 48.47115)
998,101095,Helmcken Rd at Lidgate Crt,48.47428,-123.41555,POINT (-123.41555 48.47428)
999,101096,Holland Ave at Helmcken Rd,48.47118,-123.42255,POINT (-123.42255 48.47118)
1000,101097,Wilkinson Rd at Santa Rosa Ave,48.47552,-123.41237,POINT (-123.41237 48.47552)
1001,101098,Glanford Ave at Leaside Ave,48.47999,-123.39113,POINT (-123.39113 48.47999)
1002,101099,Laval Ave at Loyola St,48.47314,-123.32092,POINT (-123.32092 48.47314)
1003,101100,Cadboro Bay Rd at Killarney Rd,48.46013,-123.29856,POINT (-123.29856 48.46013)
1004,101102,Shelbourne St at Torquay Dr,48.47768,-123.33395,POINT (-123.33395 48.47768)
1005,101103,Shelbourne St at Torquay Dr,48.47754,-123.3336,POINT (-123.3336 48.47754)
1006,101104,Wilkinson Rd at Glen Tara Lane,48.47586,-123.41185,POINT (-123.41185 48.47586)
1007,101105,Feltham Rd at Shelbourne St,48.47609,-123.32784,POINT (-123.32784 48.47609)
1008,101106,Laval Ave at Loyola St,48.47326,-123.32111,POINT (-123.32111 48.47326)
